,Index,Label,X,Y,Z,User
409171,409171,0,-0.734,2.07,1.855,P4
409172,409172,0,-0.324,2.809,2.715,P4
409173,409173,0,0.484,3.547,2.652,P4
409174,409174,0,1.281,3.305,2.25,P4
409175,409175,0,0.973,3.023,1.82,P4
409176,409176,0,-0.301,3.656,1.004,P4
409177,409177,0,-1.707,4.133,0.426,P4
409178,409178,0,-2.559,3.984,0.148,P4
409179,409179,0,-2.129,3.766,0.094,P4
409180,409180,0,-0.883,3.703,0.156,P4
409181,409181,0,-0.23,3.699,0.078,P4
409182,409182,0,0.121,3.645,0.063,P4
409183,409183,0,0.465,3.543,0.07,P4
409184,409184,0,0.832,3.625,-0.098,P4
409185,409185,0,1.598,3.77,-0.297,P4
409186,409186,0,2.844,3.578,-0.449,P4
409187,409187,0,2.766,3.184,-0.625,P4
409188,409188,0,1.805,3.156,-1.09,P4
409189,409189,0,0.855,3.715,-1.512,P4
409190,409190,0,0.496,4.324,-1.703,P4
409191,409191,0,0.863,4.855,-1.84,P4
409192,409192,0,1.73,5.105,-2.063,P4
409193,409193,0,2.68,5.027,-2.246,P4
409194,409194,0,3.656,4.762,-2.414,P4
409195,409195,0,4.133,3.961,-2.836,P4
409196,409196,0,3.945,3.176,-3.113,P4
409197,409197,0,3.531,2.84,-3.02,P4
409198,409198,0,2.961,2.543,-2.836,P4
409199,409199,0,2.406,2.125,-2.652,P4
409200,409200,0,1.934,2.09,-2.535,P4
409201,409201,0,1.695,2.625,-2.453,P4
409202,409202,0,1.461,3.465,-2.602,P4
409203,409203,0,1.203,4.895,-2.719,P4
409204,409204,0,0.922,6.559,-2.535,P4
409205,409205,0,0.809,7.332,-2.016,P4
409206,409206,0,0.797,7.629,-1.242,P4
409207,409207,0,0.477,7.227,-0.625,P4
409208,409208,0,-0.004,4.551,-0.93,P4
409209,409209,0,-0.434,3.754,-1.109,P4
409210,409210,0,0.355,3.426,-0.863,P4
409211,409211,0,0.695,3.742,-0.605,P4
409212,409212,0,-1.285,4.23,2.383,P4
409213,409213,0,-5.184,5.828,3.375,P4
409214,409214,0,-7.164,4.461,4.348,P4
409215,409215,0,-7.094,2.629,5.316,P4
409216,409216,0,-3.461,2.789,5.477,P4
409217,409217,0,0.031,1.828,4.695,P4
409218,409218,0,1.086,1.863,3.82,P4
409219,409219,0,0.441,1.988,2.703,P4
409220,409220,0,-0.203,2.168,2.262,P4
409221,409221,0,-0.816,2.164,2.5,P4
409222,409222,0,-0.961,1.785,2.926,P4
409223,409223,0,-0.695,1.336,3.129,P4
409224,409224,0,-0.293,0.918,3.039,P4
409225,409225,0,0.098,0.57,2.797,P4
409226,409226,0,0.285,0.223,2.465,P4
409227,409227,0,0.297,-0.07,2.145,P4
409228,409228,0,0.227,-0.176,1.852,P4
409229,409229,0,0.18,-0.082,1.578,P4
409230,409230,0,0.176,0.109,1.301,P4
409231,409231,0,0.266,0.301,1.066,P4
409232,409232,0,0.484,0.469,0.949,P4
409233,409233,0,0.695,0.586,0.902,P4
409234,409234,0,0.738,0.66,0.84,P4
409235,409235,0,0.535,0.742,0.77,P4
409236,409236,0,0.219,0.852,0.723,P4
409237,409237,0,0.004,0.996,0.727,P4
409238,409238,0,-0.133,1.195,0.695,P4
409239,409239,0,-0.262,1.371,0.578,P4
409240,409240,0,-0.34,1.461,0.402,P4
409241,409241,0,-0.402,1.496,0.23,P4
409242,409242,0,-0.465,1.574,0.117,P4
409243,409243,0,-0.566,1.645,0.059,P4
409244,409244,0,-0.621,1.566,0.023,P4
409245,409245,0,-0.359,1.691,-0.129,P4
409246,409246,0,2.504,3.027,-2.641,P4
409247,409247,0,4.188,1.879,-2.375,P4
409248,409248,0,4.027,0.184,0.367,P4
409249,409249,0,-1.723,0.551,0.941,P4
409250,409250,0,-5.852,2.414,0.852,P4
409251,409251,0,-4.316,2.676,0.781,P4
409252,409252,0,0.422,1.578,0.465,P4
409253,409253,0,1.945,0.148,0.066,P4
409254,409254,0,0.504,0.203,-0.207,P4
409255,409255,0,-0.758,0.961,0.039,P4
409256,409256,0,-1.273,1.207,-0.055,P4
409257,409257,0,-0.637,1.23,-0.113,P4
409258,409258,0,0.316,1.223,-0.016,P4
409259,409259,0,0.285,1.09,-0.125,P4
409260,409260,0,0.098,0.926,-0.219,P4
411846,411846,0,-0.438,1.406,1.266,P4
411847,411847,0,-0.527,1.637,1.809,P4
411848,411848,0,-0.328,2.051,2.48,P4
411849,411849,0,0.363,2.551,3.555,P4
411850,411850,0,1.129,3.09,4.039,P4
411851,411851,0,1.973,3.188,3.172,P4
411852,411852,0,2.445,2.539,1.613,P4
411853,411853,0,0.93,3.395,0.066,P4
411854,411854,0,-1.344,4.34,-0.352,P4
411855,411855,0,-2.574,4.168,-0.305,P4
411856,411856,0,-2.273,3.871,0.035,P4
411857,411857,0,-0.875,3.676,0.148,P4
411858,411858,0,0.199,3.523,0.227,P4
411859,411859,0,0.441,3.391,0.043,P4
411860,411860,0,0.773,3.164,-0.211,P4
411861,411861,0,1.441,3.137,-0.391,P4
411862,411862,0,2.363,3.125,-0.496,P4
411863,411863,0,3.012,2.867,-0.535,P4
411864,411864,0,3.227,2.176,-0.648,P4
411865,411865,0,2.93,2.027,-1.047,P4
411866,411866,0,2.199,2.535,-1.512,P4
411867,411867,0,1.762,3.129,-1.867,P4
411868,411868,0,1.5,3.598,-1.895,P4
411869,411869,0,1.672,4.148,-1.906,P4
411870,411870,0,2.137,4.625,-2.012,P4
411871,411871,0,2.777,4.652,-2.191,P4
411872,411872,0,3.145,4.492,-2.496,P4
411873,411873,0,3.047,4.117,-2.918,P4
411874,411874,0,2.641,3.672,-3.25,P4
411875,411875,0,2.148,3.465,-3.277,P4
411876,411876,0,1.531,3.426,-3.141,P4
411877,411877,0,1.074,3.52,-2.984,P4
411878,411878,0,0.738,3.762,-2.762,P4
411879,411879,0,0.383,4.313,-2.586,P4
411880,411880,0,0.059,5.043,-2.258,P4
411881,411881,0,-0.348,5.949,-1.68,P4
411882,411882,0,-0.734,6.82,-0.918,P4
411883,411883,0,-1.109,7.426,-0.344,P4
411884,411884,0,-1.816,7.668,-0.039,P4
411885,411885,0,-2.609,7.762,0.176,P4
411886,411886,0,-1.926,6.664,0.309,P4
411887,411887,0,-1.566,4.938,1.891,P4
411888,411888,0,-1.602,3.855,1.172,P4
411889,411889,0,-2.379,4.508,4.125,P4
411890,411890,0,-2.402,5.48,4.066,P4
411891,411891,0,-5.758,4.688,4.18,P4
411892,411892,0,-5.664,3.309,4.824,P4
411893,411893,0,-3.641,2.387,4.656,P4
411894,411894,0,-1.809,1.41,3.902,P4
411895,411895,0,-0.438,1.43,3.785,P4
411896,411896,0,-1.352,1.617,3.605,P4
411897,411897,0,-1.781,2.238,3.352,P4
411898,411898,0,-1.34,2.816,3.297,P4
411899,411899,0,-0.789,2.676,3.074,P4
411900,411900,0,-0.539,2.363,2.914,P4
411901,411901,0,0.023,2.234,2.477,P4
411902,411902,0,3.633,2.262,0.469,P4
411903,411903,0,4.559,0.563,0.094,P4
411904,411904,0,2.23,-0.371,1.727,P4
411905,411905,0,-3.973,2.375,2.188,P4
411906,411906,0,-4.656,4.52,1.602,P4
411907,411907,0,0.406,1.586,1.012,P4
411908,411908,0,3.207,-0.32,0.52,P4
411909,411909,0,1.656,-0.316,0,P4
411910,411910,0,-0.566,0.434,-0.215,P4
