,Index,Label,X,Y,Z,User
374666,374666.000000,0,0.816000,1.488000,-0.016000,P1
374667,374667.000000,0,1.660000,1.504000,0.172000,P1
374668,374668.000000,0,2.090000,1.680000,0.102000,P1
374669,374669.000000,0,2.117000,1.969000,-0.098000,P1
374670,374670.000000,0,2.047000,2.406000,-0.309000,P1
374671,374671.000000,0,1.957000,3.098000,-0.520000,P1
374672,374672.000000,0,1.898000,3.934000,-0.688000,P1
374673,374673.000000,0,1.844000,4.645000,-0.809000,P1
374674,374674.000000,0,1.727000,4.930000,-1.063000,P1
374675,374675.000000,0,1.520000,4.887000,-1.480000,P1
374676,374676.000000,0,1.563000,4.574000,-2.059000,P1
374677,374677.000000,0,2.121000,3.898000,-2.633000,P1
374678,374678.000000,0,3.113000,3.078000,-3.066000,P1
374679,374679.000000,0,4.063000,2.461000,-3.164000,P1
374680,374680.000000,0,4.430000,2.121000,-3.000000,P1
374681,374681.000000,0,4.273000,2.250000,-2.668000,P1
374682,374682.000000,0,4.020000,2.832000,-2.398000,P1
374683,374683.000000,0,3.965000,3.852000,-2.324000,P1
374684,374684.000000,0,3.977000,5.691000,-2.426000,P1
374685,374685.000000,0,3.902000,6.914000,-2.492000,P1
374686,374686.000000,0,2.426000,4.355000,-1.840000,P1
374687,374687.000000,0,0.969000,3.570000,-1.539000,P1
374688,374688.000000,0,-0.102000,3.961000,-1.285000,P1
374689,374689.000000,0,-0.359000,2.031000,-0.742000,P1
374690,374690.000000,0,-3.820000,0.199000,-0.441000,P1
374691,374691.000000,0,-3.422000,0.074000,2.070000,P1
374692,374692.000000,0,0.859000,2.500000,-0.844000,P1
374693,374693.000000,0,-2.426000,2.020000,-1.332000,P1
374694,374694.000000,0,-3.797000,2.066000,-0.223000,P1
374695,374695.000000,0,-3.762000,1.602000,1.227000,P1
374696,374696.000000,0,-2.816000,1.262000,3.605000,P1
374697,374697.000000,0,-4.156000,1.926000,5.242000,P1
374698,374698.000000,0,-6.504000,2.059000,5.563000,P1
374699,374699.000000,0,-6.535000,2.219000,5.398000,P1
374700,374700.000000,0,-2.734000,2.438000,5.297000,P1
374701,374701.000000,0,1.004000,0.813000,2.555000,P1
374702,374702.000000,0,3.348000,2.734000,0.711000,P1
374703,374703.000000,0,-2.141000,3.254000,-1.566000,P1
374704,374704.000000,0,-3.922000,3.574000,1.383000,P1
374705,374705.000000,0,-2.172000,1.402000,1.734000,P1
374706,374706.000000,0,-0.375000,-0.336000,0.609000,P1
374707,374707.000000,0,1.387000,-0.023000,-0.289000,P1
374708,374708.000000,0,1.004000,0.160000,-0.309000,P1
374709,374709.000000,0,-0.223000,0.672000,-0.031000,P1
374710,374710.000000,0,-0.805000,1.215000,0.340000,P1
374711,374711.000000,0,-0.422000,1.445000,0.367000,P1
374712,374712.000000,0,-0.055000,1.266000,0.109000,P1
374713,374713.000000,0,-0.039000,1.098000,-0.023000,P1
374714,374714.000000,0,-0.082000,1.227000,0.102000,P1
374715,374715.000000,0,0.008000,1.234000,0.082000,P1
374716,374716.000000,0,0.008000,0.965000,0.047000,P1
374717,374717.000000,0,-0.082000,0.871000,0.180000,P1
374718,374718.000000,0,-0.055000,0.945000,0.227000,P1
374719,374719.000000,0,0.020000,0.980000,0.168000,P1
374720,374720.000000,0,0.039000,1.004000,0.090000,P1
376331,376331.000000,0,-0.852000,1.848000,0.305000,P1
376332,376332.000000,0,-0.836000,2.465000,-0.078000,P1
376333,376333.000000,0,-0.422000,2.809000,-0.617000,P1
376334,376334.000000,0,0.090000,2.684000,-0.801000,P1
376335,376335.000000,0,0.609000,2.410000,-0.316000,P1
376336,376336.000000,0,1.223000,2.293000,-0.090000,P1
376337,376337.000000,0,1.379000,2.063000,-0.047000,P1
376338,376338.000000,0,1.309000,1.848000,-0.113000,P1
376339,376339.000000,0,1.313000,1.813000,-0.246000,P1
376340,376340.000000,0,1.434000,1.984000,-0.402000,P1
376341,376341.000000,0,1.516000,2.242000,-0.566000,P1
376342,376342.000000,0,1.539000,2.609000,-0.730000,P1
376343,376343.000000,0,1.469000,3.105000,-0.824000,P1
376344,376344.000000,0,1.387000,3.773000,-0.809000,P1
376345,376345.000000,0,1.273000,4.203000,-0.910000,P1
376346,376346.000000,0,1.430000,4.086000,-1.156000,P1
376347,376347.000000,0,2.391000,3.645000,-1.418000,P1
376348,376348.000000,0,3.695000,2.809000,-1.754000,P1
376349,376349.000000,0,4.664000,1.953000,-2.051000,P1
376350,376350.000000,0,4.922000,1.664000,-2.215000,P1
376351,376351.000000,0,4.527000,1.711000,-2.242000,P1
376352,376352.000000,0,4.219000,1.906000,-2.238000,P1
376353,376353.000000,0,4.004000,2.547000,-2.133000,P1
376354,376354.000000,0,3.766000,3.695000,-1.934000,P1
376355,376355.000000,0,3.770000,5.348000,-1.980000,P1
376356,376356.000000,0,3.945000,6.836000,-2.027000,P1
376357,376357.000000,0,2.641000,4.813000,-1.594000,P1
376358,376358.000000,0,0.859000,3.629000,-1.387000,P1
376359,376359.000000,0,-1.203000,4.348000,-1.352000,P1
376360,376360.000000,0,-1.219000,2.500000,-1.293000,P1
376361,376361.000000,0,-2.109000,0.797000,-0.977000,P1
376362,376362.000000,0,-3.426000,-0.199000,-0.746000,P1
376363,376363.000000,0,-2.863000,-1.340000,1.965000,P1
376364,376364.000000,0,2.684000,1.719000,1.109000,P1
376365,376365.000000,0,2.859000,0.969000,-1.066000,P1
376366,376366.000000,0,-1.914000,1.582000,-1.238000,P1
376367,376367.000000,0,-3.859000,1.715000,-0.281000,P1
376368,376368.000000,0,-5.238000,1.984000,0.898000,P1
376369,376369.000000,0,-3.816000,2.137000,2.406000,P1
376370,376370.000000,0,-3.082000,2.461000,4.063000,P1
376371,376371.000000,0,-3.805000,1.883000,6.402000,P1
376372,376372.000000,0,-3.203000,0.742000,6.184000,P1
376373,376373.000000,0,-1.441000,1.152000,5.707000,P1
376374,376374.000000,0,-0.227000,1.094000,3.035000,P1
376375,376375.000000,0,1.203000,0.176000,0.289000,P1
376376,376376.000000,0,1.590000,0.531000,-1.715000,P1
376377,376377.000000,0,1.285000,2.348000,-2.109000,P1
376378,376378.000000,0,0.938000,2.793000,-0.734000,P1
376379,376379.000000,0,0.273000,1.516000,0.504000,P1
376380,376380.000000,0,-0.414000,0.934000,0.836000,P1
376381,376381.000000,0,-0.820000,1.125000,0.348000,P1
376382,376382.000000,0,-0.633000,1.070000,-0.184000,P1
376383,376383.000000,0,-0.309000,0.820000,-0.410000,P1
376384,376384.000000,0,-0.223000,0.762000,-0.199000,P1
376385,376385.000000,0,-0.227000,0.867000,0.031000,P1
376386,376386.000000,0,-0.262000,0.902000,0.063000,P1
376387,376387.000000,0,-0.258000,0.902000,0.023000,P1
376388,376388.000000,0,-0.160000,0.914000,0.094000,P1
376389,376389.000000,0,-0.008000,0.977000,0.223000,P1
376390,376390.000000,0,0.113000,1.047000,0.309000,P1
376391,376391.000000,0,0.195000,1.082000,0.340000,P1
376392,376392.000000,0,0.219000,1.086000,0.363000,P1
376393,376393.000000,0,0.203000,1.070000,0.375000,P1
376394,376394.000000,0,0.199000,1.016000,0.387000,P1
376395,376395.000000,0,0.293000,0.898000,0.430000,P1
376396,376396.000000,0,0.480000,0.762000,0.453000,P1
376397,376397.000000,0,0.703000,0.695000,0.453000,P1
376398,376398.000000,0,0.949000,0.758000,0.355000,P1
376399,376399.000000,0,1.070000,0.934000,0.176000,P1
376400,376400.000000,0,1.051000,1.102000,0.129000,P1
376401,376401.000000,0,0.973000,1.172000,0.129000,P1
376402,376402.000000,0,0.922000,1.152000,0.125000,P1
376403,376403.000000,0,0.891000,1.004000,0.184000,P1
376404,376404.000000,0,0.801000,0.816000,0.238000,P1
376405,376405.000000,0,0.641000,0.723000,0.227000,P1
376406,376406.000000,0,0.500000,0.738000,0.230000,P1
376407,376407.000000,0,0.469000,0.902000,0.215000,P1
376408,376408.000000,0,0.508000,1.023000,0.129000,P1
376409,376409.000000,0,0.500000,1.113000,0.152000,P1
376410,376410.000000,0,0.492000,1.141000,0.074000,P1
376411,376411.000000,0,0.461000,1.113000,0.051000,P1
376412,376412.000000,0,0.426000,1.109000,0.070000,P1
376413,376413.000000,0,0.387000,1.094000,0.082000,P1
376414,376414.000000,0,0.340000,1.016000,0.117000,P1
376415,376415.000000,0,0.254000,0.926000,0.121000,P1
376416,376416.000000,0,0.141000,0.883000,0.094000,P1
376417,376417.000000,0,0.047000,0.852000,0.090000,P1
376418,376418.000000,0,0.000000,0.828000,0.102000,P1
376419,376419.000000,0,-0.035000,0.824000,0.070000,P1
376420,376420.000000,0,-0.090000,0.816000,0.082000,P1
378221,378221.000000,0,1.871000,1.238000,0.176000,P1
378222,378222.000000,0,1.871000,1.207000,0.125000,P1
378223,378223.000000,0,1.965000,1.219000,-0.055000,P1
378224,378224.000000,0,2.273000,1.285000,-0.328000,P1
378225,378225.000000,0,2.668000,1.348000,-0.621000,P1
378226,378226.000000,0,2.961000,1.563000,-0.828000,P1
378227,378227.000000,0,3.188000,2.016000,-1.055000,P1
378228,378228.000000,0,3.152000,2.625000,-1.242000,P1
378229,378229.000000,0,2.789000,3.199000,-1.195000,P1
378230,378230.000000,0,2.031000,3.531000,-1.266000,P1
378231,378231.000000,0,1.297000,3.910000,-1.543000,P1
378232,378232.000000,0,1.012000,4.316000,-1.973000,P1
378233,378233.000000,0,1.176000,4.445000,-2.453000,P1
378234,378234.000000,0,1.656000,4.320000,-2.855000,P1
378235,378235.000000,0,2.078000,4.152000,-3.141000,P1
378236,378236.000000,0,2.016000,4.078000,-3.293000,P1
378237,378237.000000,0,1.656000,4.125000,-3.207000,P1
378238,378238.000000,0,1.512000,4.184000,-2.949000,P1
378239,378239.000000,0,1.910000,4.570000,-2.617000,P1
378240,378240.000000,0,2.578000,5.320000,-2.441000,P1
378241,378241.000000,0,3.230000,6.727000,-2.594000,P1
378242,378242.000000,0,2.688000,5.762000,-2.172000,P1
378243,378243.000000,0,1.094000,4.254000,-1.805000,P1
378244,378244.000000,0,0.488000,2.590000,-1.152000,P1
378245,378245.000000,0,-4.012000,0.836000,-1.063000,P1
378246,378246.000000,0,-4.777000,0.465000,0.547000,P1
378247,378247.000000,0,0.563000,2.703000,3.148000,P1
378248,378248.000000,0,3.207000,1.078000,0.328000,P1
378249,378249.000000,0,-0.566000,2.656000,-2.055000,P1
378250,378250.000000,0,-2.855000,2.316000,-1.301000,P1
378251,378251.000000,0,-4.125000,1.543000,0.063000,P1
378252,378252.000000,0,-3.172000,1.414000,1.711000,P1
378253,378253.000000,0,-4.547000,1.648000,3.293000,P1
378254,378254.000000,0,-6.594000,2.059000,3.977000,P1
378255,378255.000000,0,-6.617000,2.461000,4.949000,P1
378256,378256.000000,0,-3.367000,1.063000,4.758000,P1
378257,378257.000000,0,-0.832000,2.063000,2.406000,P1
378258,378258.000000,0,-0.773000,2.813000,-1.668000,P1
378259,378259.000000,0,-0.465000,1.164000,-0.672000,P1
378260,378260.000000,0,0.484000,-1.602000,0.094000,P1
378261,378261.000000,0,0.984000,-1.414000,-0.359000,P1
378262,378262.000000,0,-0.125000,0.379000,0.098000,P1
378263,378263.000000,0,-0.551000,1.648000,0.793000,P1
378264,378264.000000,0,-0.797000,1.820000,0.680000,P1
378265,378265.000000,0,-0.527000,1.348000,0.320000,P1
378266,378266.000000,0,-0.309000,1.164000,0.137000,P1
378267,378267.000000,0,-0.125000,1.199000,0.223000,P1
378268,378268.000000,0,-0.035000,1.207000,0.391000,P1
378269,378269.000000,0,-0.160000,1.066000,0.410000,P1
378270,378270.000000,0,-0.191000,0.883000,0.246000,P1
379941,379941.000000,0,0.984000,1.684000,0.512000,P1
379942,379942.000000,0,0.828000,1.555000,0.516000,P1
379943,379943.000000,0,0.836000,1.566000,0.395000,P1
379944,379944.000000,0,1.070000,1.750000,0.051000,P1
379945,379945.000000,0,1.328000,1.922000,-0.309000,P1
