x_mean,y_mean,z_mean,x_Var,y_Var,z_Var,x_sd,y_sd,z_sd,mean_mag,mag_mean,cov_xy,cov_yz,cov_zx,avg_power,power_spec,Label,User
-1.041000,4.383000,-2.158400,3.521439,2.128009,1.275515,1.876550,1.458770,1.129387,4.995304,5.408212,-1.659354,0.443295,-1.839568,88.580966,88.580966,0,1
-2.144550,3.829750,1.276950,2.357966,3.558150,13.052141,1.535567,1.886306,3.612775,4.571289,6.002671,-1.125971,-4.144807,-1.238792,136.783253,136.783253,0,1
-1.480650,1.965150,3.373200,1.579934,0.604346,4.127695,1.256954,0.777397,2.031673,4.175239,4.355671,-0.380441,0.582940,-1.466031,73.865227,73.865227,0,1
-0.179450,1.714950,1.640500,1.211458,1.067936,1.807600,1.100663,1.033410,1.344470,2.380020,2.742071,0.291783,0.431321,-0.665501,23.661747,23.661747,0,1
0.371550,2.533600,-1.063200,0.889258,2.045352,6.289656,0.943005,1.430158,2.507919,2.772647,3.543199,0.293801,-1.710438,0.015133,19.656889,19.656889,0,1
-1.369100,4.382150,-2.386950,3.664703,3.590140,2.979495,1.914341,1.894766,1.726121,5.174476,5.644474,-2.598955,-0.557369,-1.467526,107.118054,107.118054,0,1
-2.448100,3.670450,1.767400,1.881766,5.443465,14.948955,1.371775,2.333123,3.866388,4.752799,6.343987,-1.645937,-7.973109,0.984166,155.617428,155.617428,0,1
-0.777800,1.905650,3.259900,5.026932,1.114501,6.548079,2.242082,1.055699,2.558921,3.855311,4.692609,0.473657,-0.166885,-4.051236,107.611156,107.611156,0,1
-0.536750,3.373800,-0.329100,5.424680,5.270704,4.911625,2.329094,2.295801,2.216219,3.432045,4.536526,-2.811331,-2.246625,0.398160,108.830931,108.830931,0,1
-1.839050,3.263700,0.750250,3.402100,5.299423,14.673588,1.844478,2.302048,3.830612,3.820565,5.562164,-0.901601,-5.985810,-3.341216,132.282001,132.282001,0,1
-1.232000,2.315500,3.168550,5.947836,1.243644,7.671594,2.438819,1.115188,2.769764,4.113280,5.235684,0.489210,-1.647942,-3.662025,143.365368,143.365368,0,1
